Metric,Value
Number of CPU cores,8
Average CPU usage (%),2.78747
Peak CPU usage (%),24.3469
Estimated energy used (J),218.672
Elapsed wall time (s),2.54968
Elapsed CPU time (s),0.62
Total time taken (ms),0
Total data sent (MiB),0
Total comm (sent+received) (MiB),0
Conv data (sent+received) (MiB),0
MatMul data (sent+received) (MiB),0
BatchNorm data (sent+received) (MiB),0
Truncation data (sent+received) (MiB),0
Relu data (sent+received) (MiB),0
Maxpool data (sent+received) (MiB),0
Avgpool data (sent+received) (MiB),0
ArgMax data (sent+received) (MiB),0
Conv data received (MiB),0
MatMul data received (MiB),0
BatchNorm data received (MiB),0
Truncation data received (MiB),0
Relu data received (MiB),0
Maxpool data received (MiB),0
Avgpool data received (MiB),0
ArgMax data received (MiB),0
Conv data sent (MiB),0
MatMul data sent (MiB),0
BatchNorm data sent (MiB),0
Truncation data sent (MiB),0
Relu data sent (MiB),0
Maxpool data sent (MiB),0
Avgpool data sent (MiB),0
ArgMax data sent (MiB),0
